Time,theta1_acc,theta2_acc,d3_acc,theta4_acc
0,-0.097607,0.116393,0,-0.309559
0.02,-0.0970864,0.115834,0,-0.307908
0.04,-0.0965659,0.115275,0,-0.306257
0.06,-0.0960453,0.114716,0,-0.304606
0.08,-0.0955247,0.114158,0,-0.302955
0.1,-0.0950042,0.113599,0,-0.301304
0.12,-0.0944836,0.11304,0,-0.299653
0.14,-0.093963,0.112482,0,-0.298002
0.16,-0.0934425,0.111923,0,-0.296351
0.18,-0.0929219,0.111364,0,-0.2947
0.2,-0.0924013,0.110806,0,-0.293049
0.22,-0.0918807,0.110247,0,-0.291398
0.24,-0.0913602,0.109688,0,-0.289747
0.26,-0.0908396,0.10913,0,-0.288096
0.28,-0.090319,0.108571,0,-0.286445
0.3,-0.0897985,0.108012,0,-0.284794
0.32,-0.0892779,0.107454,0,-0.283143
0.34,-0.0887573,0.106895,0,-0.281492
0.36,-0.0882367,0.106336,0,-0.279841
0.38,-0.0877162,0.105778,0,-0.27819
0.4,-0.0871956,0.105219,0,-0.276539
0.42,-0.086675,0.10466,0,-0.274888
0.44,-0.0861545,0.104101,0,-0.273237
0.46,-0.0856339,0.103543,0,-0.271586
0.48,-0.0851133,0.102984,0,-0.269935
0.5,-0.0845927,0.102425,0,-0.268284
0.52,-0.0840722,0.101867,0,-0.266633
0.54,-0.0835516,0.101308,0,-0.264982
0.56,-0.083031,0.100749,0,-0.263331
0.58,-0.0825105,0.100191,0,-0.26168
0.6,-0.0819899,0.099632,0,-0.260029
0.62,-0.0814693,0.0990733,0,-0.258378
0.64,-0.0809488,0.0985146,0,-0.256727
0.66,-0.0804282,0.0979559,0,-0.255076
0.68,-0.0799076,0.0973972,0,-0.253425
0.7,-0.079387,0.0968386,0,-0.251774
0.72,-0.0788665,0.0962799,0,-0.250123
0.74,-0.0783459,0.0957212,0,-0.248472
0.76,-0.0778253,0.0951625,0,-0.246821
0.78,-0.0773048,0.0946038,0,-0.24517
0.8,-0.0767842,0.0940451,0,-0.243519
0.82,-0.0762636,0.0934865,0,-0.241869
0.84,-0.075743,0.0929278,0,-0.240218
0.86,-0.0752225,0.0923691,0,-0.238567
0.88,-0.0747019,0.0918104,0,-0.236916
0.9,-0.0741813,0.0912517,0,-0.235265
0.92,-0.0736608,0.090693,0,-0.233614
0.94,-0.0731402,0.0901344,0,-0.231963
0.96,-0.0726196,0.0895757,0,-0.230312
0.98,-0.0720991,0.089017,0,-0.228661
1,-0.0715785,0.0884583,0,-0.22701
1.02,-0.0710579,0.0878996,0,-0.225359
1.04,-0.0705373,0.0873409,0,-0.223708
1.06,-0.0700168,0.0867822,0,-0.222057
1.08,-0.0694962,0.0862236,0,-0.220406
1.1,-0.0689756,0.0856649,0,-0.218755
1.12,-0.0684551,0.0851062,0,-0.217104
1.14,-0.0679345,0.0845475,0,-0.215453
1.16,-0.0674139,0.0839888,0,-0.213802
1.18,-0.0668933,0.0834301,0,-0.212151
1.2,-0.0663728,0.0828715,0,-0.2105
1.22,-0.0658522,0.0823128,0,-0.208849
1.24,-0.0653316,0.0817541,0,-0.207198
1.26,-0.0648111,0.0811954,0,-0.205547
1.28,-0.0642905,0.0806367,0,-0.203896
1.3,-0.0637699,0.080078,0,-0.202245
1.32,-0.0632493,0.0795194,0,-0.200594
1.34,-0.0627288,0.0789607,0,-0.198943
1.36,-0.0622082,0.078402,0,-0.197292
1.38,-0.0616876,0.0778433,0,-0.195641
1.4,-0.0611671,0.0772846,0,-0.19399
1.42,-0.0606465,0.0767259,0,-0.192339
1.44,-0.0601259,0.0761673,0,-0.190688
1.46,-0.0596054,0.0756086,0,-0.189037
1.48,-0.0590848,0.0750499,0,-0.187386
1.5,-0.0585642,0.0744912,0,-0.185735
1.52,-0.0580436,0.0739325,0,-0.184084
1.54,-0.0575231,0.0733738,0,-0.182433
1.56,-0.0570025,0.0728151,0,-0.180782
1.58,-0.0564819,0.0722565,0,-0.179131
1.6,-0.0559614,0.0716978,0,-0.17748
1.62,-0.0554408,0.0711391,0,-0.175829
1.64,-0.0549202,0.0705804,0,-0.174178
1.66,-0.0543996,0.0700217,0,-0.172527
1.68,-0.0538791,0.069463,0,-0.170876
1.7,-0.0533585,0.0689044,0,-0.169225
1.72,-0.0528379,0.0683457,0,-0.167574
1.74,-0.0523174,0.067787,0,-0.165923
1.76,-0.0517968,0.0672283,0,-0.164272
1.78,-0.0512762,0.0666696,0,-0.162621
1.8,-0.0507556,0.0661109,0,-0.160971
1.82,-0.0502351,0.0655523,0,-0.15932
1.84,-0.0497145,0.0649936,0,-0.157669
1.86,-0.0491939,0.0644349,0,-0.156018
1.88,-0.0486734,0.0638762,0,-0.154367
1.9,-0.0481528,0.0633175,0,-0.152716
1.92,-0.0476322,0.0627588,0,-0.151065
1.94,-0.0471117,0.0622002,0,-0.149414
1.96,-0.0465911,0.0616415,0,-0.147763
1.98,-0.0460705,0.0610828,0,-0.146112
2,-0.0455499,0.0605241,0,-0.144461
2.02,-0.0450294,0.0599654,0,-0.14281
2.04,-0.0445088,0.0594067,0,-0.141159
2.06,-0.0439882,0.058848,0,-0.139508
2.08,-0.0434677,0.0582894,0,-0.137857
2.1,-0.0429471,0.0577307,0,-0.136206
2.12,-0.0424265,0.057172,0,-0.134555
2.14,-0.0419059,0.0566133,0,-0.132904
