X,Y,Z,Phi
9.02988e-06,337,100,1.5708
-0.124851,337,100.009,1.57027
-0.495235,336.999,100.037,1.5687
-1.10484,336.997,100.082,1.56613
-1.94736,336.991,100.145,1.56257
-3.01647,336.979,100.225,1.55806
-4.30578,336.958,100.321,1.55261
-5.8089,336.924,100.433,1.54626
-7.51932,336.872,100.56,1.53903
-9.43046,336.799,100.702,1.53095
-11.5356,336.699,100.859,1.52205
-13.8281,336.568,101.03,1.51235
-16.3008,336.399,101.215,1.50188
-18.9466,336.188,101.413,1.49066
-21.7583,335.928,101.623,1.47873
-24.7285,335.615,101.846,1.4661
-27.8493,335.241,102.08,1.45281
-31.113,334.803,102.326,1.43888
-34.5115,334.293,102.582,1.42434
-38.0364,333.707,102.849,1.40922
-41.6793,333.039,103.125,1.39354
-45.4314,332.286,103.411,1.37732
-49.2839,331.44,103.706,1.3606
-53.2276,330.5,104.009,1.3434
-57.2533,329.46,104.32,1.32575
-61.3516,328.317,104.639,1.30768
-65.513,327.068,104.964,1.2892
-69.7278,325.711,105.297,1.27035
-73.9863,324.243,105.635,1.25116
-78.2788,322.662,105.979,1.23165
-82.5955,320.968,106.328,1.21184
-86.9267,319.161,106.682,1.19177
-91.2626,317.239,107.04,1.17146
-95.5938,315.205,107.402,1.15094
-99.9106,313.059,107.767,1.13023
-104.204,310.803,108.135,1.10937
-108.465,308.44,108.505,1.08837
-112.684,305.972,108.877,1.06726
-116.853,303.404,109.251,1.04607
-120.964,300.739,109.625,1.02483
-125.009,297.983,110,1.00356
-128.981,295.14,110.375,0.982298
-132.871,292.217,110.749,0.961057
-136.675,289.219,111.123,0.93987
-140.386,286.153,111.495,0.918763
-143.997,283.027,111.865,0.897762
-147.505,279.847,112.233,0.876894
-150.904,276.621,112.598,0.856186
-154.191,273.358,112.96,0.835664
-157.361,270.066,113.318,0.815354
-160.413,266.753,113.672,0.795284
-163.343,263.427,114.021,0.775479
-166.15,260.099,114.365,0.755968
-168.833,256.776,114.703,0.736775
-171.391,253.468,115.036,0.717928
-173.823,250.183,115.361,0.699453
-176.131,246.932,115.68,0.681377
-178.314,243.721,115.991,0.663726
-180.374,240.562,116.294,0.646527
-182.313,237.462,116.589,0.629807
-184.132,234.43,116.875,0.613592
-185.834,231.474,117.151,0.597909
-187.422,228.604,117.418,0.582785
-188.898,225.827,117.674,0.568245
-190.265,223.152,117.92,0.554317
-191.528,220.585,118.154,0.541026
-192.688,218.136,118.377,0.528401
-193.75,215.812,118.587,0.516467
-194.718,213.619,118.785,0.505251
-195.594,211.565,118.97,0.494779
-196.382,209.657,119.141,0.485079
-197.086,207.901,119.298,0.476176
-197.707,206.305,119.44,0.468097
-198.25,204.874,119.567,0.46087
-198.717,203.615,119.679,0.454519
-199.11,202.534,119.775,0.449073
-199.43,201.637,119.855,0.444557
-199.678,200.929,119.918,0.440999
-199.857,200.416,119.963,0.438424
-199.964,200.105,119.991,0.43686
-200,200,120,0.436332
-200,200,120,0.436332
-199.822,200.178,119.992,0.436353
-199.294,200.706,119.969,0.436413
-198.419,201.572,119.931,0.436514
-197.203,202.766,119.878,0.436654
-195.647,204.273,119.81,0.436833
-193.751,206.077,119.727,0.43705
-191.517,208.162,119.631,0.437305
-188.942,210.51,119.52,0.437598
-186.025,213.102,119.396,0.437927
-182.764,215.917,119.258,0.438292
-179.155,218.933,119.107,0.438694
-175.197,222.127,118.942,0.43913
-170.885,225.476,118.766,0.439602
-166.219,228.955,118.576,0.440107
-161.194,232.539,118.374,0.440647
-155.811,236.2,118.16,0.441219
-150.067,239.912,117.934,0.441825
-143.964,243.646,117.697,0.442462
-137.501,247.376,117.448,0.443131
-130.682,251.072,117.188,0.443832
-123.51,254.705,116.916,0.444563
-115.989,258.247,116.635,0.445324
-108.127,261.668,116.342,0.446115
-99.9315,264.94,116.04,0.446935
-91.4121,268.034,115.728,0.447784
-82.5803,270.923,115.405,0.448661
-73.4494,273.579,115.074,0.449565
-64.0341,275.976,114.732,0.450497
-54.3513,278.089,114.382,0.451455
-44.4192,279.893,114.023,0.452439
-34.2577,281.365,113.656,0.453449
-23.8886,282.485,113.28,0.454484
-13.3348,283.233,112.896,0.455543
-2.62071,283.59,112.504,0.456627
8.22788,283.541,112.104,0.457733
19.1842,283.072,111.698,0.458863
30.2204,282.171,111.283,0.460016
41.308,280.83,110.862,0.46119
52.4177,279.041,110.434,0.462386
63.5199,276.8,110,0.463603
74.5848,274.104,109.559,0.46484
85.5825,270.955,109.113,0.466098
96.4833,267.355,108.66,0.467374
107.258,263.31,108.202,0.46867
117.878,258.828,107.739,0.469984
128.314,253.919,107.271,0.471316
138.542,248.596,106.798,0.472665
148.534,242.875,106.32,0.474031
158.266,236.772,105.838,0.475414
167.716,230.306,105.352,0.476812
176.862,223.499,104.861,0.478226
185.685,216.374,104.368,0.479655
194.169,208.955,103.87,0.481098
202.297,201.268,103.37,0.482554
210.058,193.34,102.866,0.484024
217.439,185.198,102.36,0.485507
224.433,176.873,101.851,0.487002
231.033,168.392,101.34,0.488509
237.236,159.787,100.827,0.490027
243.04,151.088,100.312,0.491556
248.445,142.324,99.7961,0.493095
253.456,133.527,99.2784,0.494643
258.076,124.725,98.7597,0.496201
262.313,115.95,98.24,0.497768
266.176,107.229,97.7197,0.499343
269.677,98.5908,97.1991,0.500925
272.827,90.0635,96.6782,0.502515
275.642,81.6736,96.1575,0.504111
278.138,73.4467,95.6371,0.505713
280.331,65.4076,95.1172,0.507322
282.24,57.5798,94.5981,0.508935
283.884,49.986,94.08,0.510552
