Time,theta1_pos,theta2_pos,d3_pos,theta4_pos
0,1.5708,0,-175,0
0.02,1.57078,2.32413e-05,-175,-6.18017e-05
0.04,1.57072,9.2816e-05,-175,-0.000246766
0.06,1.57062,0.000208501,-175,-0.000554234
0.08,1.57049,0.000370072,-175,-0.000983544
0.1,1.57031,0.000577307,-175,-0.00153404
0.12,1.5701,0.000829981,-175,-0.00220505
0.14,1.56985,0.00112787,-175,-0.00299592
0.16,1.56956,0.00147075,-175,-0.003906
0.18,1.56924,0.00185841,-175,-0.00493461
0.2,1.56888,0.0022906,-175,-0.00608111
0.22,1.56848,0.00276712,-175,-0.00734482
0.24,1.56805,0.00328774,-175,-0.0087251
0.26,1.56757,0.00385224,-175,-0.0102213
0.28,1.56707,0.00446038,-175,-0.0118327
0.3,1.56652,0.00511196,-175,-0.0135587
0.32,1.56594,0.00580674,-175,-0.0153986
0.34,1.56533,0.0065445,-175,-0.0173517
0.36,1.56467,0.00732502,-175,-0.0194175
0.38,1.56399,0.00814807,-175,-0.0215952
0.4,1.56327,0.00901344,-175,-0.0238842
0.42,1.56251,0.00992089,-175,-0.0262838
0.44,1.56172,0.0108702,-175,-0.0287933
0.46,1.56089,0.0118612,-175,-0.0314121
0.48,1.56003,0.0128935,-175,-0.0341396
0.5,1.55914,0.0139671,-175,-0.0369751
0.52,1.55821,0.0150816,-175,-0.0399178
0.54,1.55725,0.0162369,-175,-0.0429672
0.56,1.55625,0.0174327,-175,-0.0461226
0.58,1.55523,0.0186688,-175,-0.0493834
0.6,1.55416,0.019945,-175,-0.0527488
0.62,1.55307,0.0212611,-175,-0.0562182
0.64,1.55194,0.0226167,-175,-0.059791
0.66,1.55078,0.0240118,-175,-0.0634665
0.68,1.54959,0.025446,-175,-0.067244
0.7,1.54837,0.0269193,-175,-0.0711228
0.72,1.54712,0.0284312,-175,-0.0751024
0.74,1.54583,0.0299817,-175,-0.079182
0.76,1.54451,0.0315704,-175,-0.083361
0.78,1.54316,0.0331972,-175,-0.0876388
0.8,1.54178,0.0348619,-175,-0.0920146
0.82,1.54037,0.0365642,-175,-0.0964878
0.84,1.53893,0.0383038,-175,-0.101058
0.86,1.53746,0.0400807,-175,-0.105724
0.88,1.53596,0.0418944,-175,-0.110485
0.9,1.53443,0.043745,-175,-0.115342
0.92,1.53287,0.045632,-175,-0.120292
0.94,1.53128,0.0475553,-175,-0.125336
0.96,1.52966,0.0495146,-175,-0.130472
0.98,1.52801,0.0515098,-175,-0.135701
1,1.52633,0.0535406,-175,-0.141021
1.02,1.52462,0.0556067,-175,-0.146432
1.04,1.52289,0.057708,-175,-0.151933
1.06,1.52113,0.0598443,-175,-0.157524
1.08,1.51934,0.0620153,-175,-0.163203
1.1,1.51752,0.0642207,-175,-0.168971
1.12,1.51567,0.0664605,-175,-0.174826
1.14,1.5138,0.0687342,-175,-0.180768
1.16,1.5119,0.0710418,-175,-0.186796
1.18,1.50997,0.073383,-175,-0.19291
1.2,1.50802,0.0757576,-175,-0.199108
1.22,1.50603,0.0781653,-175,-0.205391
1.24,1.50403,0.0806059,-175,-0.211757
1.26,1.50199,0.0830792,-175,-0.218206
1.28,1.49993,0.085585,-175,-0.224738
1.3,1.49785,0.0881231,-175,-0.23135
1.32,1.49574,0.0906932,-175,-0.238044
1.34,1.4936,0.0932951,-175,-0.244818
1.36,1.49144,0.0959286,-175,-0.251672
1.38,1.48926,0.0985934,-175,-0.258604
1.4,1.48705,0.101289,-175,-0.265615
1.42,1.48481,0.104016,-175,-0.272703
1.44,1.48255,0.106774,-175,-0.279869
1.46,1.48027,0.109562,-175,-0.28711
1.48,1.47796,0.11238,-175,-0.294428
1.5,1.47563,0.115229,-175,-0.30182
1.52,1.47328,0.118107,-175,-0.309286
1.54,1.4709,0.121014,-175,-0.316826
1.56,1.4685,0.123951,-175,-0.324439
1.58,1.46607,0.126918,-175,-0.332125
1.6,1.46363,0.129913,-175,-0.339882
1.62,1.46116,0.132936,-175,-0.34771
