Time,theta1_vel,theta2_vel,d3_vel,theta4_vel
0,0,0,0,0
0.02,-0.00194693,0.00232226,0,-0.00617466
0.04,-0.00388346,0.00463335,0,-0.0123163
0.06,-0.00580957,0.00693327,0,-0.0184249
0.08,-0.00772527,0.00922201,0,-0.0245005
0.1,-0.00963056,0.0114996,0,-0.0305431
0.12,-0.0115254,0.013766,0,-0.0365527
0.14,-0.0134099,0.0160212,0,-0.0425292
0.16,-0.015284,0.0182652,0,-0.0484728
0.18,-0.0171476,0.0204981,0,-0.0543833
0.2,-0.0190008,0.0227198,0,-0.0602608
0.22,-0.0208437,0.0249303,0,-0.0661052
0.24,-0.0226761,0.0271297,0,-0.0719167
0.26,-0.0244981,0.0293179,0,-0.0776951
0.28,-0.0263096,0.0314949,0,-0.0834405
0.3,-0.0281108,0.0336607,0,-0.0891529
0.32,-0.0299016,0.0358154,0,-0.0948323
0.34,-0.0316819,0.0379589,0,-0.100479
0.36,-0.0334519,0.0400912,0,-0.106092
0.38,-0.0352114,0.0422123,0,-0.111672
0.4,-0.0369605,0.0443223,0,-0.11722
0.42,-0.0386992,0.0464211,0,-0.122734
0.44,-0.0404275,0.0485087,0,-0.128215
0.46,-0.0421454,0.0505851,0,-0.133663
0.48,-0.0438529,0.0526504,0,-0.139079
0.5,-0.0455499,0.0547045,0,-0.144461
0.52,-0.0472366,0.0567474,0,-0.14981
0.54,-0.0489128,0.0587791,0,-0.155126
0.56,-0.0505787,0.0607997,0,-0.160409
0.58,-0.0522341,0.0628091,0,-0.165659
0.6,-0.0538791,0.0648073,0,-0.170876
0.62,-0.0555137,0.0667944,0,-0.17606
0.64,-0.0571378,0.0687703,0,-0.181212
0.66,-0.0587516,0.070735,0,-0.18633
0.68,-0.060355,0.0726885,0,-0.191415
0.7,-0.0619479,0.0746309,0,-0.196467
0.72,-0.0635305,0.0765621,0,-0.201486
0.74,-0.0651026,0.0784821,0,-0.206472
0.76,-0.0666643,0.0803909,0,-0.211424
0.78,-0.0682156,0.0822886,0,-0.216344
0.8,-0.0697565,0.0841751,0,-0.221231
0.82,-0.071287,0.0860504,0,-0.226085
0.84,-0.072807,0.0879145,0,-0.230906
0.86,-0.0743167,0.0897675,0,-0.235694
0.88,-0.0758159,0.0916093,0,-0.240449
0.9,-0.0773048,0.0934399,0,-0.24517
0.92,-0.0787832,0.0952593,0,-0.249859
0.94,-0.0802512,0.0970676,0,-0.254515
0.96,-0.0817088,0.0988647,0,-0.259138
0.98,-0.083156,0.100651,0,-0.263727
1,-0.0845927,0.102425,0,-0.268284
1.02,-0.0860191,0.104189,0,-0.272808
1.04,-0.0874351,0.105941,0,-0.277299
1.06,-0.0888406,0.107683,0,-0.281756
1.08,-0.0902357,0.109413,0,-0.286181
1.1,-0.0916205,0.111132,0,-0.290572
1.12,-0.0929948,0.112839,0,-0.294931
1.14,-0.0943587,0.114536,0,-0.299257
1.16,-0.0957121,0.116221,0,-0.303549
1.18,-0.0970552,0.117895,0,-0.307809
1.2,-0.0983879,0.119558,0,-0.312035
1.22,-0.0997101,0.12121,0,-0.316229
1.24,-0.101022,0.122851,0,-0.320389
1.26,-0.102323,0.12448,0,-0.324517
1.28,-0.103614,0.126099,0,-0.328611
1.3,-0.104895,0.127706,0,-0.332672
1.32,-0.106165,0.129302,0,-0.336701
1.34,-0.107425,0.130887,0,-0.340696
1.36,-0.108674,0.13246,0,-0.344658
1.38,-0.109913,0.134023,0,-0.348588
1.4,-0.111142,0.135574,0,-0.352484
1.42,-0.11236,0.137114,0,-0.356347
1.44,-0.113568,0.138643,0,-0.360178
1.46,-0.114765,0.140161,0,-0.363975
1.48,-0.115952,0.141667,0,-0.367739
1.5,-0.117128,0.143163,0,-0.37147
1.52,-0.118295,0.144647,0,-0.375169
1.54,-0.11945,0.14612,0,-0.378834
1.56,-0.120595,0.147582,0,-0.382466
1.58,-0.12173,0.149033,0,-0.386065
1.6,-0.122855,0.150472,0,-0.389631
1.62,-0.123969,0.151901,0,-0.393164
1.64,-0.125072,0.153318,0,-0.396664
1.66,-0.126166,0.154724,0,-0.400131
1.68,-0.127248,0.156119,0,-0.403565
1.7,-0.128321,0.157502,0,-0.406966
1.72,-0.129383,0.158875,0,-0.410334
1.74,-0.130434,0.160236,0,-0.413669
1.76,-0.131475,0.161586,0,-0.416971
1.78,-0.132506,0.162925,0,-0.42024
1.8,-0.133526,0.164253,0,-0.423476
1.82,-0.134536,0.16557,0,-0.426679
1.84,-0.135536,0.166875,0,-0.429849
1.86,-0.136525,0.168169,0,-0.432986
1.88,-0.137504,0.169453,0,-0.43609
1.9,-0.138472,0.170725,0,-0.439161
1.92,-0.13943,0.171985,0,-0.442198
1.94,-0.140377,0.173235,0,-0.445203
1.96,-0.141314,0.174473,0,-0.448175
1.98,-0.142241,0.175701,0,-0.451114
2,-0.143157,0.176917,0,-0.454019
2.02,-0.144063,0.178121,0,-0.456892
2.04,-0.144958,0.179315,0,-0.459732
2.06,-0.145843,0.180498,0,-0.462538
2.08,-0.146718,0.181669,0,-0.465312
2.1,-0.147582,0.182829,0,-0.468053
2.12,-0.148436,0.183978,0,-0.47076
2.14,-0.149279,0.185116,0,-0.473435
2.16,-0.150112,0.186243,0,-0.476076
2.18,-0.150934,0.187358,0,-0.478685
2.2,-0.151746,0.188463,0,-0.481261
2.22,-0.152548,0.189556,0,-0.483803
2.24,-0.153339,0.190638,0,-0.486313
2.26,-0.15412,0.191709,0,-0.488789
2.28,-0.154891,0.192768,0,-0.491232
2.3,-0.155651,0.193817,0,-0.493643
2.32,-0.1564,0.194854,0,-0.49602
2.34,-0.157139,0.19588,0,-0.498365
2.36,-0.157868,0.196895,0,-0.500676
2.38,-0.158587,0.197899,0,-0.502954
2.4,-0.159295,0.198892,0,-0.5052
2.42,-0.159992,0.199873,0,-0.507412
2.44,-0.160679,0.200843,0,-0.509591
2.46,-0.161356,0.201802,0,-0.511738
2.48,-0.162022,0.20275,0,-0.513851
2.5,-0.162678,0.203687,0,-0.515931
2.52,-0.163324,0.204612,0,-0.517978
2.54,-0.163959,0.205527,0,-0.519993
2.56,-0.164584,0.20643,0,-0.521974
2.58,-0.165198,0.207322,0,-0.523922
2.6,-0.165802,0.208203,0,-0.525837
2.62,-0.166395,0.209073,0,-0.527719
2.64,-0.166978,0.209931,0,-0.529568
2.66,-0.167551,0.210778,0,-0.531384
2.68,-0.168113,0.211615,0,-0.533167
2.7,-0.168665,0.21244,0,-0.534917
2.72,-0.169206,0.213253,0,-0.536634
2.74,-0.169737,0.214056,0,-0.538318
2.76,-0.170258,0.214848,0,-0.539969
2.78,-0.170768,0.215628,0,-0.541587
2.8,-0.171268,0.216397,0,-0.543172
2.82,-0.171757,0.217155,0,-0.544724
2.84,-0.172236,0.217902,0,-0.546243
2.86,-0.172705,0.218637,0,-0.547729
2.88,-0.173163,0.219362,0,-0.549182
2.9,-0.17361,0.220075,0,-0.550602
2.92,-0.174048,0.220777,0,-0.551989
2.94,-0.174474,0.221468,0,-0.553342
2.96,-0.174891,0.222148,0,-0.554663
2.98,-0.175297,0.222816,0,-0.555951
3,-0.175693,0.223474,0,-0.557206
3.02,-0.176078,0.22412,0,-0.558427
3.04,-0.176453,0.224755,0,-0.559616
3.06,-0.176817,0.225379,0,-0.560772
3.08,-0.177171,0.225991,0,-0.561894
3.1,-0.177515,0.226593,0,-0.562984
3.12,-0.177848,0.227183,0,-0.564041
3.14,-0.178171,0.227762,0,-0.565064
3.16,-0.178483,0.22833,0,-0.566055
3.18,-0.178785,0.228887,0,-0.567012
3.2,-0.179076,0.229433,0,-0.567937
3.22,-0.179357,0.229967,0,-0.568829
3.24,-0.179628,0.230491,0,-0.569687
3.26,-0.179888,0.231003,0,-0.570512
3.28,-0.180138,0.231504,0,-0.571305
3.3,-0.180378,0.231994,0,-0.572064
3.32,-0.180607,0.232472,0,-0.572791
3.34,-0.180825,0.23294,0,-0.573484
3.36,-0.181034,0.233396,0,-0.574145
3.38,-0.181232,0.233841,0,-0.574772
3.4,-0.181419,0.234275,0,-0.575366
3.42,-0.181596,0.234698,0,-0.575928
3.44,-0.181762,0.235109,0,-0.576456
3.46,-0.181919,0.23551,0,-0.576951
3.48,-0.182064,0.235899,0,-0.577414
3.5,-0.1822,0.236277,0,-0.577843
3.52,-0.182325,0.236644,0,-0.578239
3.54,-0.182439,0.236999,0,-0.578602
3.56,-0.182543,0.237344,0,-0.578932
3.58,-0.182637,0.237677,0,-0.57923
3.6,-0.18272,0.237999,0,-0.579494
3.62,-0.182793,0.23831,0,-0.579725
3.64,-0.182856,0.23861,0,-0.579923
3.66,-0.182908,0.238899,0,-0.580088
3.68,-0.182949,0.239176,0,-0.58022
3.7,-0.182981,0.239443,0,-0.580319
3.72,-0.183001,0.239698,0,-0.580385
3.74,-0.183012,0.239942,0,-0.580418
3.76,-0.183012,0.240175,0,-0.580418
3.78,-0.183001,0.240396,0,-0.580385
3.8,-0.182981,0.240607,0,-0.580319
3.82,-0.182949,0.240806,0,-0.58022
3.84,-0.182908,0.240994,0,-0.580088
3.86,-0.182856,0.241171,0,-0.579923
3.88,-0.182793,0.241337,0,-0.579725
3.9,-0.18272,0.241491,0,-0.579494
3.92,-0.182637,0.241635,0,-0.57923
3.94,-0.182543,0.241767,0,-0.578932
3.96,-0.182439,0.241888,0,-0.578602
3.98,-0.182325,0.241998,0,-0.578239
4,-0.1822,0.242096,0,-0.577843
4.02,-0.182064,0.242184,0,-0.577414
4.04,-0.181919,0.24226,0,-0.576951
4.06,-0.181762,0.242325,0,-0.576456
4.08,-0.181596,0.242379,0,-0.575928
4.1,-0.181419,0.242422,0,-0.575366
4.12,-0.181232,0.242454,0,-0.574772
4.14,-0.181034,0.242474,0,-0.574145
4.16,-0.180825,0.242484,0,-0.573484
4.18,-0.180607,0.242482,0,-0.572791
4.2,-0.180378,0.242469,0,-0.572064
4.22,-0.180138,0.242445,0,-0.571305
4.24,-0.179888,0.242409,0,-0.570512
4.26,-0.179628,0.242363,0,-0.569687
