X,Y,Z,Phi
9.02988e-06,337,100,1.5708
0.00327579,337,100,1.57086
0.0130504,337,100,1.57106
0.0292945,337,100,1.57138
0.0519697,337,100,1.57184
0.0810373,337,100,1.57242
0.116459,337,100,1.57314
0.158197,337,100,1.57398
0.206211,337,100,1.57494
0.260465,337,100,1.57603
0.320919,337,100,1.57725
0.387534,336.999,100,1.57859
0.460274,336.999,100,1.58006
0.539098,336.999,100,1.58165
0.623968,336.999,100,1.58336
0.714847,336.998,100,1.58519
0.811694,336.998,100,1.58715
0.914473,336.997,100,1.58922
1.02314,336.996,100,1.59142
1.13767,336.995,100,1.59373
1.25801,336.994,100,1.59616
1.38413,336.993,100,1.59871
1.51598,336.992,100,1.60138
1.65353,336.99,100,1.60417
1.79675,336.988,100,1.60706
1.94558,336.986,100,1.61008
2.1,336.984,100,1.61321
2.25997,336.982,100,1.61645
2.42543,336.979,100,1.61981
2.59637,336.976,100,1.62328
2.77273,336.972,100,1.62686
2.95448,336.968,100,1.63055
3.14158,336.964,100,1.63435
3.33399,336.96,100,1.63826
3.53168,336.955,100,1.64228
3.73459,336.95,100,1.64641
3.9427,336.944,100,1.65065
4.15596,336.937,100,1.65499
4.37433,336.931,100,1.65944
4.59778,336.923,100,1.664
4.82626,336.915,100,1.66866
5.05974,336.907,100,1.67342
5.29818,336.898,100,1.67829
5.54153,336.888,100,1.68326
5.78975,336.878,100,1.68834
6.04281,336.867,100,1.69351
6.30067,336.856,100,1.69879
6.56329,336.843,100,1.70417
6.83061,336.83,100,1.70964
7.10262,336.816,100,1.71522
7.37926,336.801,100,1.72089
7.66049,336.786,100,1.72666
7.94628,336.769,100,1.73253
8.23658,336.752,100,1.7385
8.53135,336.734,100,1.74456
8.83055,336.715,100,1.75071
9.13414,336.695,100,1.75696
9.44209,336.674,100,1.7633
9.75434,336.651,100,1.76974
10.0708,336.628,100,1.77626
10.3916,336.604,100,1.78288
10.7165,336.578,100,1.78959
11.0456,336.552,100,1.79639
11.3787,336.524,100,1.80328
11.716,336.495,100,1.81026
12.0572,336.465,100,1.81732
12.4024,336.434,100,1.82448
12.7515,336.401,100,1.83172
13.1046,336.367,100,1.83904
13.4614,336.331,100,1.84645
13.8221,336.295,100,1.85395
14.1865,336.256,100,1.86153
14.5547,336.217,100,1.86919
14.9265,336.176,100,1.87694
15.3019,336.133,100,1.88477
15.681,336.089,100,1.89268
16.0635,336.043,100,1.90067
16.4496,335.996,100,1.90874
16.8391,335.947,100,1.91689
17.2321,335.897,100,1.92512
17.6284,335.845,100,1.93342
18.028,335.791,100,1.94181
18.4309,335.735,100,1.95027
18.837,335.678,100,1.9588
19.2464,335.618,100,1.96741
19.6588,335.558,100,1.9761
20.0744,335.495,100,1.98486
20.493,335.43,100,1.99369
20.9146,335.363,100,2.0026
21.3392,335.295,100,2.01158
21.7667,335.224,100,2.02062
22.1971,335.152,100,2.02974
22.6302,335.078,100,2.03893
23.0662,335.001,100,2.04819
23.5049,334.922,100,2.05752
23.9463,334.842,100,2.06691
24.3903,334.759,100,2.07637
24.8369,334.674,100,2.0859
25.2861,334.587,100,2.0955
25.7377,334.498,100,2.10515
26.1918,334.406,100,2.11488
26.6484,334.313,100,2.12467
27.1072,334.217,100,2.13452
27.5684,334.118,100,2.14443
28.0318,334.018,100,2.1544
28.4975,333.915,100,2.16444
28.9653,333.81,100,2.17454
29.4353,333.702,100,2.18469
29.9073,333.592,100,2.19491
30.3813,333.479,100,2.20518
30.8573,333.365,100,2.21551
31.3352,333.247,100,2.2259
31.815,333.127,100,2.23634
32.2967,333.005,100,2.24684
32.7801,332.88,100,2.2574
33.2653,332.752,100,2.26801
33.7521,332.622,100,2.27867
34.2406,332.49,100,2.28939
34.7306,332.354,100,2.30015
35.2222,332.217,100,2.31097
35.7153,332.076,100,2.32184
36.2098,331.933,100,2.33276
36.7057,331.787,100,2.34374
37.2029,331.638,100,2.35475
37.7015,331.487,100,2.36582
38.2012,331.333,100,2.37694
38.7022,331.176,100,2.3881
39.2043,331.017,100,2.39931
39.7075,330.855,100,2.41056
40.2118,330.69,100,2.42186
40.717,330.522,100,2.4332
41.2232,330.351,100,2.44459
41.7303,330.178,100,2.45602
42.2382,330.001,100,2.46749
42.7469,329.822,100,2.479
43.2563,329.64,100,2.49056
43.7665,329.455,100,2.50215
44.2773,329.268,100,2.51378
44.7887,329.077,100,2.52546
45.3006,328.883,100,2.53717
45.8131,328.687,100,2.54891
46.326,328.488,100,2.5607
46.8392,328.285,100,2.57252
47.3529,328.08,100,2.58437
47.8668,327.872,100,2.59626
48.381,327.661,100,2.60819
48.8953,327.447,100,2.62015
